year,date,statefips,countyfips,averagepm2.5,County
2016,22JUL2016,36,47,16.9559843421052,Kings County
2016,23JUL2016,36,47,10.108102368421,Kings County
2016,24JUL2016,36,47,8.98232407894736,Kings County
2016,25JUL2016,36,47,10.6888426315789,Kings County
2016,26JUL2016,36,47,7.34086342105263,Kings County
2016,27JUL2016,36,47,9.13265144736842,Kings County
2016,28JUL2016,36,47,15.6982638157894,Kings County
2016,29JUL2016,36,47,13.3983821052631,Kings County
2016,30JUL2016,36,47,15.0661631578947,Kings County
2016,31JUL2016,36,47,8.37766552631579,Kings County
2016,01AUG2016,36,47,7.57236907894736,Kings County
2016,02AUG2016,36,47,7.57379763157894,Kings County
2016,03AUG2016,36,47,7.49346855263158,Kings County
2016,04AUG2016,36,47,6.21666578947368,Kings County
2016,05AUG2016,36,47,8.70011894736842,Kings County
2016,06AUG2016,36,47,9.50367539473684,Kings County
2016,07AUG2016,36,47,6.68385736842105,Kings County
2016,08AUG2016,36,47,7.50548013157894,Kings County
2016,09AUG2016,36,47,10.2912509210526,Kings County
2016,10AUG2016,36,47,9.81549210526315,Kings County
2016,11AUG2016,36,47,12.159357368421,Kings County
2016,12AUG2016,36,47,9.60090355263158,Kings County
2016,13AUG2016,36,47,12.41559,Kings County
2016,14AUG2016,36,47,8.41322868421052,Kings County
2016,15AUG2016,36,47,7.93083789473684,Kings County
2016,16AUG2016,36,47,10.4597278947368,Kings County
2016,17AUG2016,36,47,6.05684447368421,Kings County
2016,18AUG2016,36,47,6.76080960526315,Kings County
2016,19AUG2016,36,47,10.1927507894736,Kings County
2016,20AUG2016,36,47,10.1975886842105,Kings County
2016,21AUG2016,36,47,6.41164092105263,Kings County
2016,22AUG2016,36,47,4.37002302631579,Kings County
2016,23AUG2016,36,47,5.43413368421052,Kings County
2016,24AUG2016,36,47,10.4685405263157,Kings County
2016,25AUG2016,36,47,9.15138447368421,Kings County
2016,26AUG2016,36,47,11.4166284210526,Kings County
2016,27AUG2016,36,47,8.18327342105263,Kings County
2016,28AUG2016,36,47,6.5932797368421,Kings County
2016,29AUG2016,36,47,7.66393052631579,Kings County
2016,30AUG2016,36,47,6.08851368421052,Kings County
2016,31AUG2016,36,47,10.5219325,Kings County
2016,01SEP2016,36,47,14.279925,Kings County
2016,02SEP2016,36,47,4.66409236842105,Kings County
2016,03SEP2016,36,47,5.94466881578947,Kings County
2016,04SEP2016,36,47,5.81487078947368,Kings County
2016,05SEP2016,36,47,5.38875815789473,Kings County
2016,06SEP2016,36,47,3.98654539473684,Kings County
2016,07SEP2016,36,47,6.40289605263158,Kings County
2016,08SEP2016,36,47,13.5452619736842,Kings County
2016,09SEP2016,36,47,13.0187571052631,Kings County
2016,10SEP2016,36,47,17.4275825,Kings County
2016,11SEP2016,36,47,7.71408407894737,Kings County
2016,12SEP2016,36,47,4.05359052631579,Kings County
2016,13SEP2016,36,47,6.13104118421052,Kings County
2016,14SEP2016,36,47,9.21673421052631,Kings County
2016,15SEP2016,36,47,3.64880302631579,Kings County
2016,16SEP2016,36,47,4.33679631578947,Kings County
2016,17SEP2016,36,47,4.44924657894736,Kings County
2016,18SEP2016,36,47,6.44612276315789,Kings County
2016,19SEP2016,36,47,6.14983276315789,Kings County
2016,20SEP2016,36,47,7.81217407894737,Kings County
2016,21SEP2016,36,47,9.99471907894736,Kings County
2016,22SEP2016,36,47,7.75562710526315,Kings County
2016,23SEP2016,36,47,11.13618,Kings County
2016,24SEP2016,36,47,4.78840868421052,Kings County
2016,25SEP2016,36,47,4.85565052631579,Kings County
2016,26SEP2016,36,47,4.60472671052631,Kings County
2016,27SEP2016,36,47,6.83439342105263,Kings County
2016,28SEP2016,36,47,8.78330368421052,Kings County
2016,29SEP2016,36,47,5.24040855263158,Kings County
2016,30SEP2016,36,47,4.71207407894736,Kings County
2016,01OCT2016,36,47,2.78114328947368,Kings County
2016,02OCT2016,36,47,6.45583947368421,Kings County
2016,03OCT2016,36,47,11.6646197368421,Kings County
2016,04OCT2016,36,47,7.10781868421052,Kings County
2016,05OCT2016,36,47,6.55053592105263,Kings County
2016,06OCT2016,36,47,9.95383289473684,Kings County
2016,07OCT2016,36,47,11.2958231578947,Kings County
2016,08OCT2016,36,47,10.3327371052631,Kings County
